,league,year,split,date,game,side,position,playername,teamname,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,doublekills,triplekills,quadrakills,pentakills,team kpm,ckpm,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,goldat15,xpat15,csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15
216,LEC,2024,Winter,13/1/2024 16:10,1,Blue,top,Adam,Team BDS,Renekton,Draven,Bel'Veth,LeBlanc,Jax,Poppy,1749,0,3,3,3,0.0,0.0,0.0,0.0,0.3431,0.8233,10063,345.2144,0.286116,1001.6467,694.271,12,0.4117,1,0.0343,8,20,0.6861,12202,8358,286.7238,0.257673,12250,,232.0,228.0,4,,,7.9588,4716.0,5143.0,95.0,1597.0,672.0,13.0,2.0,1.0,0.0,7046.0,7346.0,134.0,1690.0,-346.0,-1.0,2.0,1.0,1.0
217,LEC,2024,Winter,13/1/2024 16:10,1,Blue,jng,Sheo,Team BDS,Nocturne,Draven,Bel'Veth,LeBlanc,Jax,Poppy,1749,0,2,2,2,0.0,0.0,0.0,0.0,0.3431,0.8233,4562,156.5009,0.129709,949.777,690.3602,11,0.3774,9,0.3087,8,41,1.4065,9892,6048,207.4786,0.18646,9650,,213.0,16.0,197,,,7.307,3617.0,3590.0,69.0,-27.0,269.0,4.0,1.0,1.0,0.0,5162.0,5298.0,98.0,-378.0,74.0,3.0,1.0,2.0,0.0
218,LEC,2024,Winter,13/1/2024 16:10,1,Blue,mid,nuc,Team BDS,Akali,Draven,Bel'Veth,LeBlanc,Jax,Poppy,1749,0,2,3,1,0.0,0.0,0.0,0.0,0.3431,0.8233,11408,391.3551,0.324358,635.8834,402.9846,8,0.2744,2,0.0686,4,22,0.7547,10279,6435,220.7547,0.198391,10000,,224.0,220.0,4,,,7.6844,3208.0,4646.0,80.0,-545.0,-359.0,-21.0,0.0,0.0,0.0,5823.0,7519.0,136.0,279.0,-330.0,-16.0,1.0,0.0,0.0
219,LEC,2024,Winter,13/1/2024 16:10,1,Blue,bot,Ice,Team BDS,Kalista,Draven,Bel'Veth,LeBlanc,Jax,Poppy,1749,0,2,2,2,0.0,0.0,0.0,0.0,0.3431,0.8233,6014,206.3122,0.170993,329.9485,186.4837,10,0.3431,9,0.3087,1,28,0.9605,11703,7859,269.6055,0.24229,11225,,292.0,285.0,7,,,10.0172,3923.0,3042.0,68.0,73.0,350.0,9.0,2.0,1.0,2.0,5825.0,5689.0,126.0,213.0,1319.0,17.0,2.0,1.0,2.0
220,LEC,2024,Winter,13/1/2024 16:10,1,Blue,sup,Labrov,Team BDS,Pyke,Draven,Bel'Veth,LeBlanc,Jax,Poppy,1749,0,1,4,3,0.0,0.0,0.0,0.0,0.3431,0.8233,3124,107.1698,0.0888232,386.6209,194.4768,75,2.5729,33,1.1321,10,162,5.5575,7580,3736,128.1647,0.115186,6950,,44.0,44.0,0,,,1.5094,2495.0,1921.0,8.0,-216.0,-699.0,-8.0,0.0,2.0,2.0,3797.0,2834.0,15.0,-75.0,-1313.0,-8.0,0.0,3.0,2.0
221,LEC,2024,Winter,13/1/2024 16:10,1,Red,top,BrokenBlade,G2 Esports,Gwen,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1749,1,4,3,2,2.0,0.0,0.0,0.0,0.4803,0.8233,16517,566.6209,0.24884,577.7358,518.1818,14,0.4803,4,0.1372,5,28,0.9605,12737,8893,305.0772,0.236596,12185,,260.0,246.0,14,,,8.9194,3119.0,4471.0,82.0,-1597.0,-672.0,-13.0,0.0,0.0,2.0,5356.0,7692.0,135.0,-1690.0,346.0,1.0,0.0,1.0,2.0
222,LEC,2024,Winter,13/1/2024 16:10,1,Red,jng,Yike,G2 Esports,Vi,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1749,1,4,1,5,0.0,0.0,0.0,0.0,0.4803,0.8233,5230,179.4168,0.0787935,459.7942,907.6158,11,0.3774,10,0.3431,9,33,1.1321,10773,6929,237.7015,0.184347,9775,,170.0,19.0,151,,,5.8319,3644.0,3321.0,65.0,27.0,-269.0,-4.0,1.0,2.0,0.0,5540.0,5224.0,95.0,378.0,-74.0,-3.0,2.0,2.0,0.0
223,LEC,2024,Winter,13/1/2024 16:10,1,Red,mid,Caps,G2 Esports,Neeko,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1749,1,2,0,7,1.0,0.0,0.0,0.0,0.4803,0.8233,16062,551.012,0.241985,337.3928,212.0755,8,0.2744,7,0.2401,2,27,0.9262,12609,8765,300.6861,0.23319,10600,,281.0,277.0,4,,,9.6398,3753.0,5005.0,101.0,545.0,359.0,21.0,0.0,0.0,0.0,5544.0,7849.0,152.0,-279.0,330.0,16.0,0.0,1.0,0.0
224,LEC,2024,Winter,13/1/2024 16:10,1,Red,bot,Hans Sama,G2 Esports,Aphelios,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1749,1,4,2,5,1.0,0.0,0.0,0.0,0.4803,0.8233,21133,724.9743,0.318383,295.3002,449.1252,11,0.3774,9,0.3087,3,27,0.9262,13274,9430,323.4991,0.250882,11835,,265.0,243.0,22,,,9.0909,3850.0,2692.0,59.0,-73.0,-350.0,-9.0,3.0,1.0,2.0,5612.0,4370.0,109.0,-213.0,-1319.0,-17.0,3.0,1.0,2.0
225,LEC,2024,Winter,13/1/2024 16:10,1,Red,sup,Mikyx,G2 Esports,Renata Glasc,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1749,1,0,4,7,0.0,0.0,0.0,0.0,0.4803,0.8233,7434,255.0257,0.111998,458.0103,347.1698,65,2.2298,18,0.6175,13,103,3.5334,7414,3570,122.47,0.0949858,6225,,40.0,40.0,0,,,1.3722,2711.0,2620.0,16.0,216.0,699.0,8.0,0.0,3.0,1.0,3872.0,4147.0,23.0,75.0,1313.0,8.0,0.0,3.0,2.0
226,LEC,2024,Winter,13/1/2024 16:10,1,Blue,team,,Team BDS,,Draven,Bel'Veth,LeBlanc,Jax,Poppy,1749,0,10,14,11,0.0,0.0,0.0,0.0,0.3431,0.8233,35171,1206.5523,,3303.8765,2168.5763,116,3.9794,54,1.8525,31,273,9.3654,51656,32438,1112.7959,,50075,-0.0108248,,793.0,212,,,34.4768,17959.0,18342.0,320.0,882.0,233.0,-3.0,5.0,5.0,4.0,27653.0,28686.0,509.0,1729.0,-596.0,-5.0,6.0,7.0,5.0
227,LEC,2024,Winter,13/1/2024 16:10,1,Red,team,,G2 Esports,,Caitlyn,Ashe,Rumble,Blitzcrank,Bard,1749,1,14,10,26,4.0,0.0,0.0,0.0,0.4803,0.8233,66376,2277.0497,,2128.2333,2434.1681,109,3.7393,48,1.6467,32,218,7.4786,56807,37589,1289.5026,,50620,0.0108248,,825.0,191,,,34.8542,17077.0,18109.0,323.0,-882.0,-233.0,3.0,4.0,6.0,5.0,25924.0,29282.0,514.0,-1729.0,596.0,5.0,5.0,8.0,6.0
