Date,Prev Close,Open,High,Low,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
2018-09-06,388.90417,390.92352,400.28122,383.04025,391.90118,396.1347,2136281.0,84560516000000.0,1081009.4,0.44055343
2018-09-07,388.2064,390.22882,399.48074,382.3181,391.16345,395.45337,2138686.0,84319400000000.0,1081418.5,0.44060782
2018-09-10,387.66498,389.69147,398.84918,381.7503,390.591,394.9318,2140703.0,84122120000000.0,1081729.6,0.44064847
2018-09-11,387.22266,389.25558,398.34232,381.28638,390.13168,394.50458,2142490.0,83986260000000.0,1082203.5,0.44068435
2018-09-12,386.85022,388.88922,397.92862,380.89798,389.75217,394.14062,2144115.8,83906660000000.0,1082852.0,0.4407188
2018-09-14,386.4954,388.5387,397.55133,380.53378,389.39514,393.78583,2145696.5,83867640000000.0,1083687.2,0.44075602
2018-09-17,386.14087,388.18588,397.18698,380.1747,389.04092,393.42395,2147316.2,83857930000000.0,1084690.5,0.44079512
2018-09-18,385.7867,387.8297,396.82553,379.81778,388.6848,393.05893,2148951.0,83858740000000.0,1085727.0,0.44083565
2018-09-19,385.4157,387.45416,396.44867,379.44656,388.3096,392.67365,2150605.8,83861240000000.0,1086787.4,0.44087866
2018-09-21,385.00864,387.0415,396.03998,379.0429,387.89893,392.2475,2152343.8,83869085000000.0,1087961.2,0.4409279
2018-09-24,384.5559,386.58063,395.58484,378.59644,387.43973,391.77277,2154147.8,83871794000000.0,1089182.1,0.44098705
2018-09-25,384.00525,386.0223,395.04315,378.05997,386.8859,391.19058,2156169.5,83882970000000.0,1090695.5,0.44106278
2018-09-26,383.29654,385.30646,394.36038,377.37744,386.17804,390.43552,2158586.0,83908120000000.0,1092685.5,0.44116274
2018-09-27,382.35812,384.36093,393.46515,376.47873,385.2428,389.43185,2161649.0,83942570000000.0,1095308.9,0.44129252
2018-09-28,381.07358,383.0697,392.2445,375.2526,383.96234,388.05533,2165708.2,83981120000000.0,1098829.4,0.4414624
2018-10-01,379.42798,381.41248,390.66077,373.67593,382.31,386.29852,2170873.2,83991220000000.0,1103055.4,0.4416727
2018-10-03,377.40463,379.3716,388.68652,371.72824,380.2654,384.14822,2177204.0,83954400000000.0,1107916.5,0.4419268
2018-10-04,374.97485,376.92004,386.29053,369.38043,377.8004,381.57614,2184792.0,83861120000000.0,1113447.8,0.44222683
2018-10-05,372.15912,374.07626,383.47958,366.64725,374.92993,378.60904,2193562.8,83690920000000.0,1119456.2,0.44257268
2018-10-08,368.94904,370.83472,380.2527,363.52286,371.65106,375.23657,2203499.0,83452040000000.0,1126034.9,0.44296962
2018-10-09,365.35892,367.20956,376.62048,360.0193,367.97757,371.47574,2214559.8,83140370000000.0,1133124.8,0.44341865
2018-10-10,361.45926,363.26907,372.6349,356.19757,363.973,367.40695,2226565.0,82731330000000.0,1140390.6,0.44390962
2018-10-11,357.3809,359.1433,368.40942,352.17792,359.76413,363.17487,2239128.0,82205760000000.0,1147381.0,0.44442752
2018-10-12,353.20245,354.91702,364.0391,348.0419,355.44293,358.85764,2251966.0,81594420000000.0,1154127.4,0.44497
2018-10-15,349.0029,350.671,359.60846,343.86795,351.09274,354.53656,2264824.0,80912386000000.0,1160527.1,0.4455295
2018-10-16,344.90833,346.53082,355.2411,339.77734,346.84067,350.34506,2277332.8,80169220000000.0,1166309.9,0.44609368
2018-10-17,341.04343,342.6224,351.06506,335.89233,342.81494,346.41275,2289107.0,79379710000000.0,1171247.9,0.44664767
2018-10-19,337.50406,339.04437,347.1904,332.31122,339.11917,342.8353,2299836.8,78573540000000.0,1175286.5,0.4471807
2018-10-22,334.32516,335.83524,343.67862,329.0776,335.80084,339.63943,2309404.2,77799180000000.0,1178653.1,0.44769123
2018-10-23,331.5305,333.01825,340.56345,326.2183,332.8854,336.84506,2317772.5,77076890000000.0,1181404.8,0.4481711
2018-10-24,329.13083,330.60324,337.8654,323.74786,330.3851,334.45868,2324934.8,76425930000000.0,1183624.0,0.448615
2018-10-25,327.14368,328.60562,335.60345,321.6847,328.31528,332.49667,2330868.0,75852380000000.0,1185287.1,0.44901505
2018-10-26,325.49258,326.95078,333.72296,319.96274,326.607,330.87012,2335787.8,75385850000000.0,1186786.0,0.44937998
2018-10-29,324.09387,325.55325,332.1465,318.50372,325.17532,329.48743,2339970.0,75032424000000.0,1188364.9,0.44971618
2018-10-30,322.90057,324.3614,330.81345,317.2579,323.96307,328.30292,2343589.0,74767460000000.0,1189962.1,0.45002323
2018-10-31,321.89362,323.35303,329.68945,316.20212,322.94324,327.30133,2346715.2,74564340000000.0,1191446.8,0.45029947
2018-11-01,320.99933,322.45697,328.70963,315.26898,322.04578,326.40286,2349514.8,74426045000000.0,1193034.5,0.45055375
2018-11-02,320.2177,321.66946,327.85632,314.45325,321.2614,325.61377,2351976.0,74322975000000.0,1194511.4,0.45078412
2018-11-05,319.55127,320.99326,327.12155,313.75354,320.58984,324.94128,2354094.0,74235640000000.0,1195758.8,0.4509895
2018-11-06,319.02017,320.44943,326.51862,313.18707,320.0501,324.41028,2355794.8,74150700000000.0,1196646.6,0.45116654
2018-11-07,318.619,320.03534,326.0466,312.75003,319.64078,324.01453,2357075.5,74071845000000.0,1197231.0,0.45131683
2018-11-09,318.40817,319.8094,325.75076,312.49496,319.41742,323.82358,2357763.8,73981850000000.0,1197236.2,0.4514366
2018-11-12,318.3947,319.7834,325.65207,312.43307,319.39578,323.8408,2357850.2,73900150000000.0,1196807.6,0.45152232
2018-11-13,318.62268,320.0013,325.79382,312.60736,319.6188,324.1128,2357230.0,73828900000000.0,1195841.0,0.4515633
2018-11-14,319.10886,320.4811,326.19983,313.03625,320.1069,324.65506,2355857.2,73781860000000.0,1194386.2,0.45155895
2018-11-15,319.8438,321.2148,326.86935,313.71317,320.85464,325.45447,2353787.8,73773930000000.0,1192577.1,0.45150924
2018-11-16,320.84344,322.2165,327.81418,314.65192,321.8746,326.52875,2351006.5,73802076000000.0,1190343.5,0.45141006
2018-11-19,322.10315,323.48227,329.03522,315.84976,323.16492,327.8706,2347546.0,73876430000000.0,1187772.0,0.45126137
2018-11-20,323.59174,324.9816,330.50983,317.28015,324.69617,329.44412,2343498.0,74007820000000.0,1185008.0,0.45106515
2018-11-21,325.2752,326.6798,332.2064,318.9112,326.4339,331.21213,2338969.0,74199060000000.0,1182150.5,0.45082554
2018-11-22,327.16318,328.5828,334.12198,320.7481,328.38065,333.18857,2333931.5,74433120000000.0,1179040.6,0.45054236
2018-11-26,329.25418,330.68906,336.25247,322.7887,330.5341,335.37305,2328377.5,74703780000000.0,1175643.4,0.45021677
2018-11-27,331.55334,333.0035,338.60083,325.03723,332.89893,337.77194,2322265.8,75006810000000.0,1171914.0,0.44985065
2018-11-28,334.0175,335.48563,341.1339,327.45523,335.4373,340.33636,2315697.8,75353420000000.0,1168052.2,0.44945258
