Column,Model,score
Prev Close,RNN,8.253897319395849
Prev Close,VAR,93.76021019732447
Open,RNN,7.27260675722836
Open,VAR,94.60237635394866
High,RNN,11.021192347052638
High,VAR,100.12884895620915
Low,RNN,11.207663633194437
Low,VAR,88.68524550193762
Close,RNN,12.01709284870171
Close,VAR,94.52305746391067
VWAP,RNN,10.0719346730987
VWAP,VAR,95.23250376574447
Volume,RNN,2957488.0863209357
Volume,VAR,4575375.51402313
Turnover,RNN,205766977868805.16
Turnover,VAR,268616564585373.06
Deliverable Volume,RNN,848437.5418903375
Deliverable Volume,VAR,1109068.2520413164
%Deliverble,RNN,0.09920354807318811
%Deliverble,VAR,0.13561595773892074
