Column,Model,score
Prev Close,LSTM,28.510920500023968
Prev Close,RNN,9.036654775420581
Prev Close,CNN,42.14969254944222
Open,LSTM,30.37032727200561
Open,RNN,8.945782793665224
Open,CNN,45.14442964799565
High,LSTM,32.022843146762966
High,RNN,10.647523798094205
High,CNN,48.269251555460365
Low,LSTM,32.06641307432959
Low,RNN,14.057788834835122
Low,CNN,42.56649697426638
Close,LSTM,31.010379281073256
Close,RNN,11.231595644336537
Close,CNN,42.13491673849843
VWAP,LSTM,30.42675411856247
VWAP,RNN,10.241048891032401
VWAP,CNN,46.659188056430935
Volume,LSTM,3918861.75
Volume,RNN,2708407.25
Volume,CNN,5869351.5
Turnover,LSTM,223844310115682.25
Turnover,RNN,202418493611152.97
Turnover,CNN,229299352573374.88
Deliverable Volume,LSTM,924038.6875
Deliverable Volume,RNN,885409.6875
Deliverable Volume,CNN,1075842.25
%Deliverble,LSTM,0.14713284849111288
%Deliverble,RNN,0.09957725553930469
%Deliverble,CNN,0.11338394392355818
