Column,Model,score
Prev Close,RNN,14.85090141084499
Prev Close,VAR,153.629299660324
Open,RNN,11.166666714742052
Open,VAR,154.8690652673009
High,RNN,17.21453792930241
High,VAR,163.2200416892695
Low,RNN,16.60166338326441
Low,VAR,146.29041549057803
Close,RNN,19.14529027298801
Close,VAR,154.8644920635862
VWAP,RNN,15.93930670945429
VWAP,VAR,155.82651750625757
Volume,RNN,6848824.586573075
Volume,VAR,8462672.28895116
Turnover,RNN,542879992319385.1
Turnover,VAR,606253654216960.9
Deliverable Volume,RNN,1382799.9590317863
Deliverable Volume,VAR,1801414.1049135241
%Deliverble,RNN,0.12053987193562303
%Deliverble,VAR,0.16317379022208786
