Column,Model,score
Prev Close,LSTM,34.270371883405915
Prev Close,RNN,28.144598234351186
Prev Close,CNN,46.709023883338794
Open,LSTM,35.459085229781756
Open,RNN,14.57267817812272
Open,CNN,52.183635838422674
High,LSTM,37.755047748411485
High,RNN,21.018857798051908
High,CNN,59.949420480421495
Low,LSTM,34.65674047944659
Low,RNN,15.956716865262077
Low,CNN,50.860253313287174
Close,LSTM,35.777918713105265
Close,RNN,19.4449090114469
Close,CNN,51.93702142205917
VWAP,LSTM,35.75199762860949
VWAP,RNN,24.02773013478816
VWAP,CNN,51.05918555833389
Volume,LSTM,8395129.465043884
Volume,RNN,7199580.516420106
Volume,CNN,8530788.57330505
Turnover,LSTM,582318649416121.5
Turnover,RNN,614445277626378.0
Turnover,CNN,578568151679219.9
Deliverable Volume,LSTM,1668535.9665335356
Deliverable Volume,RNN,1429350.0891356184
Deliverable Volume,CNN,1908522.7692055444
%Deliverble,LSTM,0.1875554459556119
%Deliverble,RNN,0.12194219245301412
%Deliverble,CNN,0.14819156239875952
